kode_mk,nama_mk,nama_dosen,kelas,tahun_ajaran,semester
08033242013,Material Teknik (2 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,B,2026/2027,Ganjil
08033242013,Material Teknik (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,B,2026/2027,Ganjil
08033242013,Material Teknik (2 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,C,2026/2027,Ganjil
08033242013,Material Teknik (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,C,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,A,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,A,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,B,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,B,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,C,2026/2027,Ganjil
08033242014,Mekanika Teknik (2 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,C,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,A,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,A,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,B,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,B,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,C,2026/2027,Ganjil
08033242016,Pengantar Pengembangan Produk (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,C,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,A,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,A,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,A,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,B,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,B,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,B,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,C,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,C,2026/2027,Ganjil
08033242017,Analisis dan Pengendalian Biaya (2 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,C,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,A,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,A,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),PRI002 - Prof. Dr.Eng. Ir. Pringgo Widyo Laksono S.T., M.Eng., IPU, ASEAN Eng.,A,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),PRI002 - Prof. Dr.Eng. Ir. Pringgo Widyo Laksono S.T., M.Eng., IPU, ASEAN Eng.,B,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,B,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,B,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),PRI002 - Prof. Dr.Eng. Ir. Pringgo Widyo Laksono S.T., M.Eng., IPU, ASEAN Eng.,C,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,C,2026/2027,Ganjil
08033242018,Proses Manufaktur I (2 SKS),LOB001 - Prof. Dr. Ir. Lobes Herdiman M.T.,C,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,A,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,A,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),BAM025 - Prof. Dr. Ir. Bambang Suhardi S.T.,M.T., ASEAN Eng.,A,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,B,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,B,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),BAM025 - Prof. Dr. Ir. Bambang Suhardi S.T.,M.T., ASEAN Eng.,B,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,C,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,C,2026/2027,Ganjil
08033242034,Perancangan Fasilitas (2 SKS),BAM025 - Prof. Dr. Ir. Bambang Suhardi S.T.,M.T., ASEAN Eng.,C,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),RAH006 - Dr. Ir. Rahmaniyah Dwi Astuti S.T.,M.T.,A,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,A,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,A,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,B,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),RAH006 - Dr. Ir. Rahmaniyah Dwi Astuti S.T.,M.T.,B,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,B,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,C,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),RAH006 - Dr. Ir. Rahmaniyah Dwi Astuti S.T.,M.T.,C,2026/2027,Ganjil
08033242036,Praktikum Perancangan Teknik Industri II (2 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,C,2026/2027,Ganjil
08033242037,Pancasila (2 SKS),IRW001 - Ir. Irwan Iftadi S.T., M.Eng.,A,2026/2027,Ganjil
08033242037,Pancasila (2 SKS),IRW001 - Ir. Irwan Iftadi S.T., M.Eng.,B,2026/2027,Ganjil
08033242037,Pancasila (2 SKS),IRW001 - Ir. Irwan Iftadi S.T., M.Eng.,C,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,A,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,A,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,B,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,B,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,C,2026/2027,Ganjil
08033242049,Perancangan Eksperimen (2 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,C,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,A,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,A,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,B,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,B,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,C,2026/2027,Ganjil
08033242050,Pengendalian dan Penjaminan Mutu (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,C,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,A,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,A,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,B,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,B,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,C,2026/2027,Ganjil
08033242052,Analisis dan Perancangan Sistem Informasi (2 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,C,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,A,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,A,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,B,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,B,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,C,2026/2027,Ganjil
08033242053,Metodologi Penelitian (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,C,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,A,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,A,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,A,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,B,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,B,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,B,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,C,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),YUN003 - Dr. Ir. Yuniaristanto S.T.,M.T.,C,2026/2027,Ganjil
08033242054,Praktikum Perancangan Teknik Industri IV (2 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,C,2026/2027,Ganjil
08033242056,Bahasa Indonesia (2 SKS),DEW016 - Dewi Pangestu Said S. Pd, M. Pd, PhD,A,2026/2027,Ganjil
08033242056,Bahasa Indonesia (2 SKS),HEN006 - Dr. Henry Yustanto M.A.,B,2026/2027,Ganjil
08033242056,Bahasa Indonesia (2 SKS),HEN006 - Dr. Henry Yustanto M.A.,C,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),MIR001 - Mira Andriyani S.Pd., M.Sc.,A,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),DWI036 - Dwi Purnama S.Si., M.Sc.,A,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,A,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),MIR001 - Mira Andriyani S.Pd., M.Sc.,B,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),DWI036 - Dwi Purnama S.Si., M.Sc.,B,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,B,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,C,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),MIR001 - Mira Andriyani S.Pd., M.Sc.,C,2026/2027,Ganjil
08033243010,Kalkulus II (3 SKS),DWI036 - Dwi Purnama S.Si., M.Sc.,C,2026/2027,Ganjil
08033243011,Fisika II (3 SKS),KUS007 - Dr. Eng. Kusumandari S.Si., M.Si.,A,2026/2027,Ganjil
08033243011,Fisika II (3 SKS),UTA001 - Dr. Utari S.Si., M.Si.,B,2026/2027,Ganjil
08033243011,Fisika II (3 SKS),UTA001 - Dr. Utari S.Si., M.Si.,C,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,A,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,A,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,B,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,B,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),IWA003 - Ir. I Wayan Suletra S.T.,M.T.,C,2026/2027,Ganjil
08033243029,Matematika Optimasi (3 SKS),EKO006 - Prof. Dr.Ir. Eko Pujiyanto S.Si., M.T.,C,2026/2027,Ganjil
08033243030,Statistika (3 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,A,2026/2027,Ganjil
08033243030,Statistika (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,A,2026/2027,Ganjil
08033243030,Statistika (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,A,2026/2027,Ganjil
08033243030,Statistika (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,B,2026/2027,Ganjil
08033243030,Statistika (3 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,B,2026/2027,Ganjil
08033243030,Statistika (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,B,2026/2027,Ganjil
08033243030,Statistika (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,C,2026/2027,Ganjil
08033243030,Statistika (3 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,C,2026/2027,Ganjil
08033243030,Statistika (3 SKS),FAK001 - Dr. Ir. Fakhrina Fahma S.T.P., M.T.,C,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,A,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,A,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),SUS016 - Prof. Dr. Ir. Susy Susmartini MSIE, IPU, ASEAN Eng.,A,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,B,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,B,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),SUS016 - Prof. Dr. Ir. Susy Susmartini MSIE, IPU, ASEAN Eng.,B,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,C,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,C,2026/2027,Ganjil
08033243031,Riset Operasi I (3 SKS),SUS016 - Prof. Dr. Ir. Susy Susmartini MSIE, IPU, ASEAN Eng.,C,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,A,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,A,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,A,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,B,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,B,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,B,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),YUS005 - Dr. Ir. Yusuf Priyandari S.T.,M.T.,C,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),EKO004 - Dr. Ir. Eko Liquiddanu S.T., M.T.,C,2026/2027,Ganjil
08033243048,Simulasi Sistem (3 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,C,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,A,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,A,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,A,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,B,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,B,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,B,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),RON001 - Dr. Roni Zakaria R S.T.,M.T.,C,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),REN008 - Ir. Renny Rochani M.T., Ph.D.,C,2026/2027,Ganjil
08033243051,Perancangan dan Manajemen Organisasi Industri (3 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,C,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,A,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,A,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,A,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,B,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,B,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,B,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,C,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),ADE007 - Ade Aisyah Arifna Putri S.T., M.T., M.B.A.,C,2026/2027,Ganjil
08033244032,Perencanaan dan Pengendalian Produksi (4 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,C,2026/2027,Ganjil
08033353002,Teori Persediaan (3 SKS),WAK001 - Prof. Dr. Ir. Wakhid Ahmad Jauhari S.T., M.T.,A,2026/2027,Ganjil
08033353006,Pengambilan Keputusan Kriteria Majemuk (3 SKS),CUC001 - Prof. Dr. Ir. Cucuk Nur Rosyidi S.T., M.T.,A,2026/2027,Ganjil
08033353008,Manufaktur Cerdas (3 SKS),PRI002 - Prof. Dr.Eng. Ir. Pringgo Widyo Laksono S.T., M.Eng., IPU, ASEAN Eng.,A,2026/2027,Ganjil
08033353016,Aplikasi Ergonomi Industri (3 SKS),RAH006 - Dr. Ir. Rahmaniyah Dwi Astuti S.T.,M.T.,A,2026/2027,Ganjil
08033353016,Aplikasi Ergonomi Industri (3 SKS),BAM025 - Prof. Dr. Ir. Bambang Suhardi S.T.,M.T., ASEAN Eng.,A,2026/2027,Ganjil
08033353023,Analisis Komparasi Kuantitatif (3 SKS),RET009 - Prof. Dr. Ir. Retno Wulan Damayanti S.T., M.T.,A,2026/2027,Ganjil
08033353042,Manajemen Rantai Pasok yang Berkelanjutan (3 SKS),MUH030 - Dr. Ir. Muh. Hisjam S.T.P.,M.T.,A,2026/2027,Ganjil
08033353042,Manajemen Rantai Pasok yang Berkelanjutan (3 SKS),ERA002 - Ir. Era Febriana Aqidawati S.T., M.T.,A,2026/2027,Ganjil
08033353046,Manufaktur Komposit Alam (3 SKS),TAU003 - Ir. Taufiq Rochman S.T.P.,M.T.,A,2026/2027,Ganjil
08033353046,Manufaktur Komposit Alam (3 SKS),RHA001 - Dr. Ir. R Hari Setyanto M.Si.,A,2026/2027,Ganjil
08033353049,Rekayasa Balik dan Manufaktur Aditif (3 SKS),ILH001 - Dr.Eng. Ir. Ilham Priadythama S.T., M.T.,A,2026/2027,Ganjil
